Movie Name,Audience Score,AUDIENCE SCORE reviews,Tomatometer Score,TOMATOMETER reviews,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),box office,Runtime,Distributor,MOVIE INFO
CATHARSIS,--,0 Ratings,--,CATHARSIS,"Biography, Drama",English,Nicholas Firlej,,Nicholas Firlej,,"Dec 18, 2020",,13m,,A teenage boy struggles with depression and apathy in the wake of his father's unexpected passing.
URADI,--,0 Ratings,--,URADI,Mystery & Thriller,Swahili,Kang'ethe Mungai,,Kang'ethe Mungai,,,,2h 0m,,A university student looks for a way to make quick and easy money and finds out that its not as easy as he had imagined.
NOWHERE MAN,54%,500+ Ratings,43%,NOWHERE MAN,"Comedy, Mystery & Thriller",English,Tim McCann,"Tim McCann, Mark Tchelistcheff",Tim McCann,"Mar 18, 2005  Original","Jul 19, 2005",$2.3K,1h 32m,First Run,A man (Michael Rodrick) tries to track down his fiancee (Debbie Rochon) after she cuts off his penis and demands a huge ransom for its return.
THE MISS OTB SCANDAL,--,0 Ratings,--,THE MISS OTB SCANDAL,Comedy,English,Andrew Osburn,"Andrew Osburn, Lucy Hwang","Greg Lutz, Andrew Osburn",,,,1h 19m,,"Two has-been Vegas icons plot to scam the beauty pageant world by producing a fake beauty pageant on the Las Vegas strip. All hell breaks loose when the two are consumed by greed, fame and fortune."
THE STARTER MARRIAGE,--,0 Ratings,--,THE STARTER MARRIAGE,Comedy,English,Arthur Muhammad,"Les Gaddis, Raymund C. King, Arthur Muhammad",Matthew Tolbert,,,,1h 36m,,"A pair of 20-something friends decides to go through a one-year ""starter"" marriage."
SWEET DREAMS,81%,"5,000+ Ratings",90%,SWEET DREAMS,Biography,English,Karel Reisz,,,"Oct 2, 1985  Original","Jul 27, 2004",$9.0M,1h 55m,TriStar Pictures,"Aspiring country singer Patsy Cline (Jessica Lange) is resigned to both her thankless gigs and her unhappy marriage, until she meets the charismatic Charlie Dick (Ed Harris). Eventually leaving her husband to marry Charlie, Patsy temporarily shelves her performing career to be a mother. Later she returns to singing and finds success under manager Randy Hughes (David Clennon). Patsy hits a remarkable stride with a string of hit singles, and has become a full-fledged star when tragedy strikes."
SOLO,26%,"5,000+ Ratings",8%,SOLO,Action,English,Norberto Barba,"Joseph Newton Cohen, John Flock",,"Aug 23, 1996  Limited","Jan 18, 2000",$4.9M,1h 34m,,"Android military weapon Solo (Mario Van Peebles) is designed to put down Latin American rebels. But when Solo arrives, the machine feels compassion for the rebels fighting for freedom. Despite Solo's design, he begins fighting for the people he's supposed to kill. When his creators, including Gen. Haynes (Barry Corbin), attempt to bring him back, he flees. But the military doesn't give up. They send an upgraded android into the field to take Solo -- and the villagers -- down."
LET'S GET MERRIED,--,0 Ratings,--,LET'S GET MERRIED,"Holiday, Drama",English,Veronica Rodriguez,,Sasha Perl-Raver,,,,2h 0m,,"A bachelorette weekend at a Christmas-themed adventure park gets all kinds of holly jolly when a hard-partying, down-on-her-luck, holiday-hater decides to get married to a man she has yet to meet."
MAPS AND MISTLETOE,--,0 Ratings,--,MAPS AND MISTLETOE,"Holiday, Romance",English,Max McGuire,Hayden Baptiste,W. Stewart,,,,1h 30m,,A cartographer and an explorer find an unexpected connection while working on a novelty treasure map of the North Pole.
VINCENT -- THE LIFE AND DEATH OF VINCENT VAN GOGH,79%,50+ Ratings,--,VINCENT -- THE LIFE AND DEATH OF VINCENT VAN GOGH,Biography,English,Paul Cox,Tony Llewellyn-Jones,Paul Cox,"Jul 31, 1988  Wide","Aug 30, 2005",,1h 39m,Roxie Releasing,"In the south of France, during the final years of his life, Dutch painter Vincent van Gogh (John Hurt), penniless and misunderstood, toils in obscurity while experiencing severe depression and deteriorating mental health. Vincent finds a small measure of solace in writing letters to his brother, Theo, on whom he is completely dependent. At the edge of complete mental collapse, Vincent articulates to Theo the joys and frustrations of his life as a struggling artist."
UNBOUND,--,0 Ratings,--,UNBOUND,"Action, Crime, Drama",English,Steve Rahaman,"Steve Rahaman, Juanita Rahaman",Steve Rahaman,,,,1h 37m,,"A father is willing to go to any lengths to obtain justice for a missing daughter. However, this may require him to make some tough decisions."
FRESH MEAT,31%,50+ Ratings,--,FRESH MEAT,"Comedy, Horror",English,Danny Mulheron,Dave Gibson,Briar Grace Smith,,"Jan 14, 2014",,1h 31m,,Gang members break out of prison and hide in a Maori family's mansion. They have no idea the family enjoys feasting on human flesh until it is too late.
PLAYDATE,--,0 Ratings,--,PLAYDATE,Romance,English,Melanie Mayron,"Tara Power, Joselyn Allen",Melissa Samuels,,"Nov 1, 2020",,1h 23m,,"Amy, a new mom, is not only new to the suburban life, she's also new to the mommy politics."
ROMANCE,--,0 Ratings,--,ROMANCE,Drama,Portuguese (Brazil),Sérgio Bianchi,,"Caio Fernando Abreu, Fernando Cony Campos, Mario Carneiro, Eduardo Caldas, Sérgio Bianchi, , ,",,,,1h 43m,,"After a man dies under mysterious circumstances, his girlfriend and his gay lover deal with his death in different ways."
SAUDADE FOR THE FUTURE,--,Fewer than 50 Ratings,80%,SAUDADE FOR THE FUTURE,Documentary,Portuguese (Brazil),Cesar Paes,"Marie-Clemence Blanc-Paes, Cesar Paes","Marie-Clemence Blanc-Paes, Cesar Paes, Marie Clemence Paes",,"May 18, 2004",,1h 34m,,Filmmaker Cesar Paes documents the exploits of street troubadours in Brazil.
SOMEDAY AT CHRISTMAS,--,0 Ratings,--,SOMEDAY AT CHRISTMAS,"Holiday, Romance",English,Vanessa Bell Calloway,"Keith Neal, Ron Robinson, Eric Tomosunas",Eric Dickens,,,,2h 0m,,"Stranded in a train station on Christmas Eve, two strangers meet at a bar, only to lose complete contact with each other. After an unexpected series of events brings them together again, they find their lives are no longer so simple."
NORTH SHORE,83%,"2,500+ Ratings",--,NORTH SHORE,Adventure,English,William Phelps,Bill Finnegan,"Randal Kleiser, Tim McCanlies, William Phelps","Aug 14, 1987  Original","Jan 7, 2003",$3.2M,1h 36m,Universal Pictures,"After learning how to surf by using the local wave tanks, Arizona resident Rick (Matt Adler) uses his winnings from a recent contest to fly to Hawaii and try to make a living for himself as a professional wave rider. He gets off to a rough start, as he finds riding the ocean a lot different than the simulated waves back home, but he soon finds a mentor in the aging surf guru Chandler (Gregory Harrison) and a friend in local girl Kiani (Nia Peeples)."
THE TRAIN,89%,"2,500+ Ratings",94%,THE TRAIN,"Mystery & Thriller, War",English,"John Frankenheimer, Arthur Penn",Jules Bricken,"Rose Valland, Franklin Coen, Frank Davis, Albert Husson","Mar 7, 1965  Wide","May 5, 2015",,2h 13m,"MGM/UA Home Entertainment Inc., United Artists","With the Allies poised to retake Paris from the Germans, Col. Franz Von Waldheim (Paul Scofield) conspires to sneak out by train all of the art masterpieces looted by the German army. But museum curator Mademoiselle Villard (Suzanne Flon) alerts the French Resistance, and soon railway inspector Paul Labiche (Burt Lancaster) is pressed into service. He reroutes the train, and cleverly deceives Von Waldheim by renaming each train station along the way."
THE WAGES OF SIN,--,0 Ratings,--,THE WAGES OF SIN,Drama,English,Cyrus Kapadia,,Cyrus Kapadia,,"Jun 28, 2017",,31m,,"A young girl from the Deep South forms a forbidden friendship, going against the wishes of her racist grandfather."
A CHRISTMAS PROPOSAL,11%,250+ Ratings,--,A CHRISTMAS PROPOSAL,"Holiday, Romance, Comedy",English,Michael Feifer,Michael Feifer,Peter Sullivan,,"Dec 13, 2019",,1h 28m,,"Lisa (Nicole Eggert) is a passionate lawyer defending the land rights of a charming mountain community, while Rick (David O'Donnell) is a handsome attorney representing the real-estate development company that wants to turn the town into a ski resort. In their childhood, the two were once sweethearts, and, before long, Lisa and Rick are falling for each other again. However, as their romance is rekindled, their court case becomes much more complicated."
THE CHRISTMAS THIEF,--,Fewer than 50 Ratings,--,THE CHRISTMAS THIEF,"Holiday, Mystery & Thriller",English,Danny Salles,Jason Sullivan,,,,,1h 30m,,"Home for the holidays, a fledgling private eye realizes the only way to save her career is by solving a string of local burglaries where the main suspect is Santa Claus."
A CHRISTMAS STAR,38%,50+ Ratings,38%,A CHRISTMAS STAR,"Holiday, Drama, Adventure",English (United Kingdom),Richard Elson,Joan Burney Keatings,Maire Campbell,,"Sep 20, 2016",,1h 22m,,"When a developer threatens Noelle's peaceful life, she and her friends use her gift of performing miracles to thwart his plans and save their village."
HELL'S HALF ACRE,29%,250+ Ratings,--,HELL'S HALF ACRE,"Crime, Drama",English,John H. Auer,,Steve Fisher,"Feb 26, 1954  Limited","Oct 1, 2015",,1h 31m,,"An ex-racketeer's (Wendell Corey) abandoned wife (Evelyn Keyes) finds him in Honolulu, trying to beat a bum murder rap."
SISTER SWAP: CHRISTMAS IN THE CITY,--,Fewer than 50 Ratings,--,SISTER SWAP: CHRISTMAS IN THE CITY,"Holiday, Romance, Comedy",English,Sean McNamara,David M. Wulf,"Claire Boyles, Erik Patterson, Zac Hug, Jessica Scott",,,,1h 24m,,Two sisters find a new sense of purpose and discover what they both truly need in life during the holidays.
LIFE AIN'T LIKE THE MOVIES,--,0 Ratings,--,LIFE AIN'T LIKE THE MOVIES,Drama,English,"Robert Mychal, Patrick Butler","Kimel Fryer, Erik Greer","Robert Mychal, Patrick Butler",,,,1h 25m,,A 16-year-old boy must learn to deal with his problems and survive an erratic high school life.
THE FALLING WORLD,--,0 Ratings,67%,THE FALLING WORLD,"Drama, Mystery & Thriller",English,Jaclyn Bethany,"C.C. Kellogg, Isabelle Chester","Jaclyn Bethany, Jaclyn Bethany",,,,1h 12m,,"The Falling World focuses on the relationship between two women, Lark and Hadley, and the disappearance of Jill Bennett, their former law school classmate. When Hadley and her law school friends (including new addition Lark), travel back to the place where Jill was last seen, suspicion abounds and questions about her fate begin to surface."
I DREAM OF A PSYCHOPOMP,--,0 Ratings,--,I DREAM OF A PSYCHOPOMP,"Drama, Horror",English,Danny Villanueva Jr.,Danny Villanueva Jr.,Danny Villanueva Jr.,,,,1h 20m,,"A grieving widower, haunted by the distressed ghost of his recently deceased wife, is visited in his dreams by a psychopomp who seeks to teach him about the spirit world and soul guiding through stories of death and the supernatural."
GRANDPA,--,0 Ratings,--,GRANDPA,Drama,English,Alan Ruffier,Alan Ruffier,Alan Ruffier,,,,,,"The strained relationship between a grandfather, his grandson and the young woman who helps smooth the troubled waters."
ALL I WANT FOR CHRISTMAS,--,Fewer than 50 Ratings,--,ALL I WANT FOR CHRISTMAS,"Holiday, Drama",English,Emilio Ferrari,Emilio Ferrari,Emilio Ferrari,,,,1h 30m,,A boy adjusts to a new lifestyle after his wish for different parents comes true.
LACY'S CHRISTMAS DO-OVER,--,0 Ratings,--,LACY'S CHRISTMAS DO-OVER,"Holiday, Comedy",English,Ari Golan,"Dean E. Fronk, Donald Paul Pemrick",Nichole Lennstrom,,,,1h 30m,,"Lacy, a career-driven business woman, goes to a B&B in Illinois at the advice of a new therapist. There she finds herself stuck in a mystical, small Christmas town, reliving the same day over and over. Lacy must figure out how to escape this Christmas time warp and find the answers she is looking for."
DANGEROUS SNOW DAY,--,0 Ratings,--,DANGEROUS SNOW DAY,Mystery & Thriller,English,Brittany Underwood,"Stan Spry, Eric Scott Woods",Jordan Robinson,,,,2h 0m,,"When an au pair to one of the most well-known and wealthiest families in town rejects the father's advances, she finds herself blacklisted and in fear for her life."
SAYONARA,79%,"2,500+ Ratings",93%,SAYONARA,Drama,English,Joshua Logan,William Goetz,,"Dec 5, 1957  Original","Sep 18, 2001",,2h 27m,,"Stationed in Japan during the Korean War, U.S. Air Force Major Lloyd ""Ace"" Gruver falls for the beautiful Japanese actress Hana-ogi (Miiko Taka). However, he is hesitant to pursue the relationship due to the unfortunate example of his crew chief, Airman Joe Kelly (Red Buttons). Kelly, against official military advice and the prejudices of his commanding officers, married a Japanese woman, Katsumi (Miyoshi Umeki), and his military career has suffered ever since."
HOT MESS HOLIDAY,--,0 Ratings,--,HOT MESS HOLIDAY,Comedy,English,Jaffar Mahmood,,Sameer Gardezi,,,,1h 30m,,"When a young finance exec is unceremoniously dumped by her cheating fiancé during the Diwali holidays, her free-spirited bestie is determined to help her get lit. They take a trip to Chicago, where the pair accidentally find a valuable diamond."
HAVE YOU HEARD ABOUT GREG?,--,0 Ratings,--,HAVE YOU HEARD ABOUT GREG?,Documentary,English,Steven Ecclesine,"Steven Ecclesine, Andrew Towe",Greg O'Brien,,,,,,"Greg O'Brien, a lifelong award-winning investigative reporter, is diagnosed with early onset Alzheimer's at the age of 59 and becomes committed to getting people talking about this quiet killer and increase the research funding."
A NEW LEASE ON CHRISTMAS,--,Fewer than 50 Ratings,--,A NEW LEASE ON CHRISTMAS,"Holiday, Romance",English,Leigh Scott,"Sean-Michael Argo, Leigh Scott, Jamie R. Thompson","Robert A. Friedman, Jack Marchetti",,,,1h 30m,,"A single real estate agent falls for a handsome coffee shop owner, only to discover that the job she just took requires her to evict him from his shop."
A GODWINK CHRISTMAS: MIRACLE OF LOVE,--,0 Ratings,--,A GODWINK CHRISTMAS: MIRACLE OF LOVE,"Holiday, Romance",English,Heather Hawthorn Doyle,Kim Arnott,"Jamie Pachino, John Wierick",,,,1h 24m,,Joy and Eric find a new sense of purpose -- and get a chance at love -- as they work together to build a home for a family during Christmastime.
A ROYAL QUEENS CHRISTMAS,--,Fewer than 50 Ratings,--,A ROYAL QUEENS CHRISTMAS,"Holiday, Romance",English,Lee Friedlander,Frank Siracusa,"Tracy Andreen, Gary Dontzig, Lee Friedlander, Steve Peterman, Will Peterman",,,,1h 24m,,"A prince makes his way to Queens, N.Y., when a local woman enlists his help for a children's Christmas show."
THE PUBLIC EYE,51%,"1,000+ Ratings",65%,THE PUBLIC EYE,"Crime, Drama",English,Howard Franklin,Sue Baden-Powell,,,"Apr 19, 2016",$3.0M,1h 38m,,"Tireless 1940s tabloid photographer Leon ""The Great Bernzini"" Bernstein (Joe Pesci) is always first to the scene of the crime, thanks to his uncanny journalistic instincts and the police scanner in his car. Known to his friends as ""Bernzy,"" Leon is famous for capturing the gory aftermath of violent crimes that snuff the lives of New York City's famous. Bernzy gets a job offer from gorgeous nightclub owner Kay (Barbara Hershey), but finds he's way in over his head when the Mob gets involved."
